Species_code,Group,Species_name,Official_name,Alternative_names,Common_name,Order,Family,Genus,Diet,Body_mass_g,mean_SVL_mm,Source_SVL
b381,Birds,Setophaga cerulea,Setophaga cerulea,Dendroica cerulea,Cerulean warbler,Passeriformes,Parulidae,Setophaga,0,9.04,,
b383,Birds,Setophaga pensylvanica,Setophaga pensylvanica,Dendroica pensylvanica,Chestnut-sided warbler,Passeriformes,Parulidae,Setophaga,0,9.29,,
b384,Birds,Setophaga caerulescens,Setophaga caerulescens,Dendroica caerulescens,Black-throated blue warbler,Passeriformes,Parulidae,Setophaga,0,10.14,,
b385,Birds,Cardinalis cardinalis,Cardinalis cardinalis,-,Northern cardinal,Passeriformes,Cardinalidae,Cardinalis,0,42.64,,
b386,Birds,Passerina cyanea,Passerina cyanea,-,Indigo bunting,Passeriformes,Cardinalidae,Passerina,0,14.69,,
b389,Birds,Spinus tristis,Spinus tristis,Carduelis tristis,American goldfinch,Passeriformes,Fringillidae,Spinus,0,12.79,,
b390,Birds,Spizella breweri,Spizella breweri,-,Brewer’s sparrrow,Passeriformes,Passerellidae,Spizella,0,10.9,,
b391,Birds,Oreoscoptes montanus,Oreoscoptes montanus,-,Sage thrasher,Passeriformes,Mimidae,Oreoscoptes,0,44.2,,
b392,Birds,Geranoaetus melanoleucus,Geranoaetus melanoleucus,-,Black-chested buzzard-eagle,Accipitriformes,Accipitridae,Geranoaetus,100,2378.62,,
b393,Birds,Caracara plancus,Caracara plancus,-,Southern caracara,Falconiformes,Falconidae,Caracara,80,1078.62,,
b394,Birds,Phalcoboenus chimango,Phalcoboenus chimango,Milvago chimango,Chimango caracara,Falconiformes,Falconidae,Phalcoboenus,80,296,,
b395,Birds,Coragyps atratus,Coragyps atratus,-,American black vulture,Cathartiformes,Cathartidae,Coragyps,100,1881.69,,
b396,Birds,Geothlypis formosa,Geothlypis formosa,Oporornis formosus,Kentucky warbler,Passeriformes,Parulidae,Geothlypis,0,14,,
b397,Birds,Poecile carolinensis,Poecile carolinensis,Parus carolinensis,Carlonia chickadee,Passeriformes,Paridae,Poecile,0,9.99,,
b398,Birds,Piranga rubra,Piranga rubra,-,Summer tanager,Passeriformes,Cardinalidae,Piranga,0,29.13,,
b399,Birds,Calcarius ornatus,Calcarius ornatus,-,Chestnut-collared longspur,Passeriformes,Calcariidae,Calcarius,0,20.3,,
b427,Birds,Chalcophaps indica,Chalcophaps indica,-,Grey capped emerald dove,Columbiformes,Columbidae,Chalcophaps,0,136.54,,
b431,Birds,Copsychus malabaricus,Kittacincla malabarica,-,White-rumped shama,Passeriformes,Muscicapidae,Kittacincla,0,29.23,,
b455,Birds,Luscinia cyane,Larvivora cyane,-,Siberian blue robin,Passeriformes,Muscicapidae,Larivora,0,14.8,,
b487,Birds,Molothrus bonariensis,Molothrus bonariensis,-,Shiny cowbird,Passeriformes,Icteridae,Molthrus,0,41.49,,
b488,Birds,Chroicocephalus maculipennis,Larus maculipennis,-,Brown-hooded gull,Charadriiformes,Laridae,Larus,20,339,,
b489,Birds,Egretta thula,Egretta thula,-,Snowy egret,Pelecaniformes,Ardeidae,Egretta,50,371,,
b490,Birds,Pseudoleistes virescens,Pseudoleistes virescens,-,Brown-and-yellow marshbird,Passeriformes,Icteridae,Pseudoleistes,0,79.93,,
b491,Birds,Chauna torquata,Chauna torquata,-,Southern screamer,Anseriformes,Anhimidae,Chauna,0,4400,,
b492,Birds,Ardea alba,Ardea alba,Casmerodius albus,Great white egret,Pelecaniformes,Ardeidae,Ardea,60,871.33,,
b493,Birds,Vanellus chilensis,Vanellus chilensis,-,Southern lapwing,Charadriiformes,Charadriidae,Vanellus,10,327,,
b494,Birds,Ciconia maguari,Ciconia maguari,-,Maguari stork,Ciconiiformes,Ciconiidae,Ciconia,70,3994.99,,
b495,Birds,Guira guira,Guira guira,-,Guira cuckoo,Cuculiformes,Cuculidae,Guira,60,141,,
b496,Birds,Tachycineta leucorrhoa,Tachycineta leucorrhoa,-,White rumped swallow,Passeriformes,Hirundinidae,Tachycineta,0,15.3,,
b497,Birds,Myiopsitta monachus,Myiopsitta monachus,-,Monk parakeet,Psittaciformes,Psittacidae,Myiopsitta,0,120,,
b498,Birds,Sicalis luteola,Sicalis luteola,-,Grassland yellow finch,Passeriformes,Thraupidae,Sicalis,0,15.9,,
b499,Birds,Phalacrocorax brasilianus,Nannopterum brasilianus,-,Neotropical cormorant,Suliformes,Phalacrocoracidae,Nanopterum,70,1239.29,,
b500,Birds,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,-,Blue and white swallow,Passeriformes,Hirundinidae,Pygochelidon,0,9.7,,
b501,Birds,Bubulcus ibis,Bubulcus ibis,-,Cattle egret,Pelecaniformes,Ardeidae,Bubulcus,40,365.95,,
b502,Birds,Plegadis chihi,Plegadis chihi,-,White-faced ibis,Pelecaniformes,Threskiornithidae,Plegadis,20,616.89,,
b503,Birds,Embernagra platensis,Embernagra platensis,-,Great pampa-finch,Passeriformes,Thraupidae,Embernagra,0,45.5,,
b504,Birds,Anas flavirostris,Anas flavirostris,-,Yellow-billed teal,Anseriformes,Anatidae,Anas,0,434,,
b505,Birds,Sicalis flaveola,Sicalis flaveola,-,Saffron finch,Passeriformes,Thraupidae,Sicalis,0,16.89,,
b506,Birds,Furnarius rufus,Furnarius rufus,-,Rufous hornero,Passeriformes,Furnariidae,Furnarius,0,46.42,,
b507,Birds,Dendrocygna viduata,Dendrocygna viduata,-,White-faced whistling-duck,Anseriformes,Anatidae,Dendrocygna,0,689.99,,
b508,Birds,Progne tapera,Progne tapera,-,Brown-chested martin,Passeriformes,Hirundinidae,Progne,0,32,,
b509,Birds,Amazonetta brasiliensis,Amazonetta brasiliensis,-,Brazilian teal,Anseriformes,Anatidae,Amazonetta,0,499.99,,
b510,Birds,Rupornis magnirostris,Rupornis magnirostris,Buteo magnirostris,Roadside hawk,Accipitriformes,Accipitridae,Rupornis,60,269,,
b511,Birds,Jacana jacana,Jacana jacana,-,Wattled Jacana,Charadriiformes,Jacanidae,Jacana,0,106.24,,
b512,Birds,Pitangus sulphuratus,Pitangus sulphuratus,-,Geat kiskadee,Passeriformes,Tyrannidae,Pitangus,30,62.85,,
b513,Birds,Ardea cocoi,Ardea cocoi,-,Cocoi heron,Pelecaniformes,Ardeidae,Ardea,70,1752.44,,
b514,Birds,Troglodytes musculus,Troglodytes musculus,Troglodytes aedon,NA,Passeriformes,Troglodytidae,Troglodytes,0,10.85,,
b515,Birds,Alopochelidon fucata,Alopochelidon fucata,-,Tawny headed swallow,Passeriformes,Hirundinidae,Alopochelidon,0,13.96,,
b516,Birds,Tyrannus savana,Tyrannus savana,-,Fork tailed flycatcher,Passeriformes,Tyrannidae,Tyrannus,0,31.9,,
b517,Birds,Anumbius annumbi,Anumbius annumbi,-,Firewood gatherer,Passeriformes,Furnariidae,Anumbius,0,41.5,,
b518,Birds,Megaceryle torquata,Megaceryle torquata,-,Ringed kingfisher,Coraciiformes,Alcedinidae,Megacercyle,80,317,,
b519,Birds,Chrysomus ruficapillus,Chrysomus ruficapillus,-,Chestnut capped blackbird,Passeriformes,Icteridae,Chrysomus,0,32,,
b520,Birds,Circus buffoni,Circus buffoni,-,Long winged harrier,Accipitriformes,Accipitridae,Circus,100,507.4,,
b521,Birds,Nycticorax nycticorax,Nycticorax nycticorax,-,Black crowned night heron,Pelecaniformes,Ardeidae,Nycticorax,70,810,,
b522,Birds,Synallaxis spixi,Synallaxis spixi,-,Spix’s spinetail,Passeriformes,Furnariidae,Synallaxis,0,12.6,,
b523,Birds,Xolmis irupero,Xolmis irupero,-,White monjita,Passeriformes,Tyrannidae,Xolmis,0,28.7,,
b524,Birds,Colaptes campestris,Colaptes campestris,-,Campo flicker,Piciformes,Picidae,Colaptes,10,158,,
b525,Birds,Patagioenas picazuro,Patagioenas picazuro,-,Picazuro pigeon,Columbiformes,Columbidae,Patagioenas,0,279,,
b526,Birds,Agelaioides badius,Agelaioides badius,-,Greyish baywing,Passeriformes,Icteridae,Agelaioides,0,45.25,,
b527,Birds,Anas georgica,Anas georgica,-,Yellow billed pintail,Anseriformes,Anatidae,Anas,0,623.82,,
b528,Birds,Sterna trudeaui,Sterna trudeaui,-,Snowy-crowned tern,Charadriiformes,Laridae,Sterna,70,153,,
b529,Birds,Amblyramphus holosericeus,Amblyramphus holosericeus,-,Scarlet-headed blackbird,Passeriformes,Icteridae,Amblyramphus,0,56.76,,
b530,Birds,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,-,Yellow-chinned spinetail,Passeriformes,Furnariidae,Certhiaxis,0,15.2,,
b531,Birds,Himantopus melanurus,Himantopus melanurus,Himantopus himantopus,NA,Charadriiformes,Recurvirostridae,Himantopus,0,176.82,,
b532,Birds,Platalea ajaja,Platalea ajaja,-,NA,Pelecaniformes,Threskiornithidae,Platalea,50,1490,,
b533,Birds,Aramus guarauna,Aramus guarauna,-,Limpkin,Gruiformes,Aramidae,Aramus,50,1080,,
b534,Birds,Athene cunicularia,Athene cunicularia,-,Burrowing owl,Strigiformes,Strigidae,Athene,80,150.61,,
b535,Birds,Himantopus mexicanus,Himantopus mexicanus,-,NA,Charadriiformes,Recurvirostridae,Himantopus,0,176.82,,
b536,Birds,Rostrhamus sociabilis,Rostrhamus sociabilis,-,Snail kite,Accipitriformes,Accipitridae,Rostrhamus,0,366.94,,
b537,Birds,Serpophaga nigricans,Serpophaga nigricans,-,Sooty tyrannulet,Passeriformes,Tyrannidae,Serpophaga,0,8.5,,
b538,Birds,Gallinula galeata,Gallinula galeata,Gallinula chloropus,Common gallinule,Gruiformes,Rallidae,Gallinula,20,339.63,,
b539,Birds,Butorides striata,Butorides striata,-,Green-backed heron,Pelecaniformes,Ardeidae,Butorides,70,201.5,,
b540,Birds,Parula pitiayumi,Setophaga pitiayumi,-,Tropical parula,Passeriformes,Parulidae,Setophaga,0,6.82,,
b541,Birds,Satrapa icterophrys,Satrapa icterophrys,-,Yellow-browed tyrant,Passeriformes,Tyrannidae,Satrapa,0,21.5,,
b542,Birds,Syrigma sibilatrix,Syrigma sibilatrix,-,Whistling heron,Pelecaniformes,Ardeidae,Syrigma,30,463,,
b543,Birds,Falco sparverius,Falco sparverius,-,American kestrel,Falconiformes,Falconidae,Falco,40,114.61,,
b544,Birds,Fulica leucoptera,Fulica leucoptera,-,White-winged coot,Gruiformes,Rallidae,Fulica,0,656,,
b545,Birds,Chroicocephalus cirrocephalus,Larus cirrocephalus,-,Grey-headed gull,Charadriiformes,Laridae,Larus,60,374.69,,
b546,Birds,Pardirallus sanguinolentus,Pardirallus sanguinolentus,-,Plumbeous rail,Gruiformes,Rallidae,Pardirallus,0,232,,
b547,Birds,Hymenops perspicillatus,Hymenops perspicillatus,-,Spectacled tyrant,Passeriformes,Tyrannidae,Hymenops,0,22.9,,
b548,Birds,Turdus amaurochalinus,Turdus amaurochalinus,-,Creamy-bellied thrush,Passeriformes,Turdidae,Turdus,0,57.9,,
b549,Birds,Phimosus infuscatus,Phimosus infuscatus,-,Bare-faced ibis,Pelecaniformes,Threskiornithidae,Phimosus,0,559,,
b550,Birds,Podilymbus podiceps,Podilymbus podiceps,-,Pied-billed grebe,Podicipediformes,Podicipedidae,Podilymbus,30,411.93,,
b551,Birds,Rynchops niger,Rynchops niger,-,Black skimmer,Charadriiformes,Laridae,Rynchops,70,297.73,,
b552,Birds,Turdus rufiventris,Turdus rufiventris,-,Rufous-bellied thrush,Passeriformes,Turdidae,Turdus,0,69.44,,
b553,Birds,Colaptes melanochloros,Colaptes melanochloros,-,Green-barred woodpecker,Piciformes,Picidae,Colaptes,0,127.27,,
b554,Birds,Columbina picui,Columbina picui,-,Picui dove,Columbiformes,Columbidae,Columbina,0,47,,
b555,Birds,Geothlypis aequinoctialis,Geothlypis aequinoctialis,-,Masked yellowthroat,Passeriformes,Parulidae,Geothlypis,0,13.1,,
b556,Birds,Nothura maculosa,Nothura maculosa,-,Spotted nothura,Struthioniformes,Tinamidae,Nothura,0,257.48,,
b557,Birds,Phaetusa simplex,Phaetusa simplex,-,Large-billed tern,Charadriiformes,Laridae,Phaetusa,80,235,,
b558,Birds,Pseudoleistes guirahuro,Pseudoleistes guirahuro,-,Yellow-rumped marshbird,Passeriformes,Icteridae,Pseudoleistes,0,86.42,,
b559,Birds,Rollandia rolland,Rollandia rolland,-,White-tufted grebe,Podicipediformes,Podicipedidae,Rollandia,80,324.27,,
b560,Birds,Aramides ypecaha,Aramides ypecaha,-,Giant wood-rail,Gruiformes,Rallidae,Aramides,30,700.07,,
b561,Birds,Chloroceryle amazon,Chloroceryle amazona,,Amazon kingfisher,Coraciiformes,Alcedinidae,Chloroceryle,50,126.38,,
b562,Birds,Circus cinereus,Circus cinereus,-,Cinereous harrier,Accipitriformes,Accipitridae,Circus,90,399.67,,
b563,Birds,Hylocharis chrysura,Hylocharis chrysura,-,Gilded hummingbird,Caprimulgiformes,Trochilidae,Hylocharis,0,4.5,,
b564,Birds,Leptotila rufaxilla,Leptotila rufaxilla,-,Grey-fronted dove,Columbiformes,Columbidae,Leptotila,0,157,,
b565,Birds,Pyrocephalus rubinus,Pyrocephalus rubinus,-,Common vermilion flycatcher,Passeriformes,Tyrannidae,Pyrocephalus,0,14.4,,
b566,Birds,Thalasseus maximus,Thalasseus maximus,Sterna maxima,Royal tern,Charadriiformes,Laridae,Thalasseus,80,415.31,,
b567,Birds,Setophaga pinus,Setophaga pinus,Dendroica pinus,Pine warbler,Passeriformes,Parulidae,Setophaga,0,11.79,,
b568,Birds,Icterus galbula,Icterus galbula,-,Baltimore oriole,Passeriformes,Icteridae,Icterus,0,32.83,,
b569,Birds,Anser albifrons,Anser albifrons,-,White-fronted goos,Anseriformes,Anatidae,Anser,0,2506.39,,
b570,Birds,Trichastoma malaccense,Trichastoma malaccense,Malacocincla malaccensis,Short-tailed babbler,Passeriformes,Pellorneidae,Trichastoma,0,21.4,,
b571,Birds,Vireo griseus,Vireo griseus,-,White-eyed vireo,Passeriformes,Vireonidae,Vireo,0,11.4,,
b572,Birds,Vermivora cyanoptera,Vermivora cyanoptera,Vermivora pinus,blue-winged warbler,Passeriformes,Parulidae,Vermivora,0,8.9,,
b573,Birds,Pipilo maculatus,Pipilo maculatus,-,Spotted Towhee,Passeriformes,Passerellidae,Pipilo,0,39.28,,
b574,Birds,Amphispiza bilineata,Amphispiza bilineata,-,Black throated sparrow,Passeriformes,Passerellidae,Amphispiza,0,13.5,,
b575,Birds,Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,-,Pinyon jay,Passeriformes,Corvidae,Gymnorhinus,30,104.82,,
b576,Birds,Myiarchus cinerascens,Myiarchus cinerascens,-,Ash-throated flycatcher,Passeriformes,Tyrannidae,Myiarchus,10,28.2,,
b577,Birds,Aphelocoma californica,Aphelocoma californica,-,Western scrub-jay,Passeriformes,Corvidae,Aphelocoma,40,85.74,,
b578,Birds,Lanius ludovicianus,Lanius ludovicianus,-,Loggerhead shrike,Passeriformes,Laniidae,Lanius,30,51.59,,
b579,Birds,Empidonax wrightii,Empidonax wrightii,-,American grey flycatcher,Passeriformes,Tyrannidae,Empidonax,0,12.3,,
b580,Birds,Baeolophus ridgwayi,Baeolophus ridgwayi,-,Juniper titmouse,Passeriformes,Paridae,Baeolophus,0,15.86,,
b581,Birds,Coccyzus erythropthalmus,Coccyzus erythropthalmus,-,Black-billed cuckoo,Cuculiformes,Cuculidae,Coccyzus,30,50.9,,
b582,Birds,Helmitheros vermivorus,Helmitheros vermivorus,Helmitheros vermivorum,Worm-eating warbler,Passeriformes,Parulidae,Helmitheros,0,14.16,,
b583,Birds,Buteo platypterus,Buteo platypterus,-,Broad-winged hawk,Accipitriformes,Accipitridae,Buteo,90,453.65,,
b584,Birds,Bubo virginianus,Bubo virginianus,-,Great horned owl,Strigiformes,Strigidae,Bubo,90,1575.7,,
b585,Birds,Vermivora chrysoptera,Vermivora chrysoptera,-,Golden-winged warbler,Passeriformes,Parulidae,Vermivora,0,8.74,,
b591,Birds,Anser albifrons & Anser fabalis,Anser albifrons & Anser fabalis,-,-,Anseriformes,Anatidae,Anser,0,2630.56,,
r1,Reptiles,Uma inornata,Uma inornata,NA,Coachella Valley Fringe toed lizard,Squamata,Phrynosomatidae,Uma,,56.234,,
r2,Reptiles,Crotalus cerastes,Crotalus cerastes,NA,Sidewinder,Squamata,Viperidae,Crotalus,,316.228,,
r3,Reptiles,Chionactis occipitalis,Chionactis occipitalis,NA,Western shovel-nosed snake,Squamata,Colubridae,Chionactis,,13.804,,
r4,Reptiles,Phrynosoma mcallii,Phrynosoma mcallii,NA,Horned lizard,Squamata,Phrynosomatidae,Phrynosoma,,39.811,,
r5,Reptiles,Cnemidophorus hyperythrus,Aspidoscelis hyperythrus,NA,Orange-throated whiptail,Squamata,Teiidae,Aspidoscelis,,56.234,,
r6,Reptiles,Sceloporus occidentalis,Sceloporus occidentalis,NA,-,Squamata,Phrynosomatidae,Sceloporus,,28.84,,
r7,Reptiles,Acritoscincus duperreyi,Acritoscincus duperreyi,NA,Estern Three-lined skink,Squamata,Scincidae,Acritoscincus,,56.234,,
r8,Reptiles,Egernia whitii,Liopholis whitii,NA,White’s skink,Squamata,Scincidae,Lipholis,,31.623,,
r9,Reptiles,Lerista bougainvillii,Lerista bougainvillii,NA,South-eastern Slider,Squamata,Scincidae,Lerista,,8.128,,
r10,Reptiles,Chrysemys picta,Chrysemys picta,NA,Painted turtle,Testudines,Emydidae,Chrysemys,,56.234,,
r11,Reptiles,Gopherus agassizii,Gopherus agassizii,NA,Mojave desert tortoise,Testudines,Testudinidae,Gopherus,,56.234,,
r12,Reptiles,Plestiodon laticeps,Plestiodon laticeps,eumeces laticeps,-,Squamata,Scincidae,Plestiodon,,67.608,,
r13,Reptiles,Anolis sagrei,Anolis sagrei,NA,Brown anole,Squamata,Dactyloidae,Anolis,,8.71,,
r14,Reptiles,Sceloporus undulatus,Sceloporus undulatus,NA,-,Squamata,Phrynosomatidae,Sceloporus,,24.547,,
r15,Reptiles,Ophisaurus ventralis,Ophisaurus ventralis,NA,-,Squamata,Anguidae,Ophisaurus,,91.201,,
r16,Reptiles,Plestiodon fasciatus,Plestiodon fasciatus,eumeces fasciatus,-,Squamata,Scincidae,Plestiodon,,13.183,,
r17,Reptiles,Anolis carolinensis,Anolis carolinensis,NA,Green Anole,Squamata,Dactyloidae,Anolis,,8.71,,
r18,Reptiles,Scincella lateralis,Scincella lateralis,NA,-,Squamata,Scincidae,Scincella,,3.89,,
r19,Reptiles,Aspidoscelis sexlineata,Aspidoscelis sexlineata,cnemidophorus sexlineatus,-,Squamata,Teiidae,Aspidoscelis,,22.387,,
r20,Reptiles,Plestiodon inexpectatus,Plestiodon inexpectatus,eumeces inexpectatus,-,Squamata,Scincidae,Plestiodon,,14.791,,
r21,Reptiles,Tantilla relicta neilli,Tantilla relicta,NA,Florida crowned snake,Squamata,Colubridae,Tantilla,,3.162,,
r22,Reptiles,Micrurus fulvius,Micrurus fulvius,NA,-,Squamata,Elapidae,Micrurus,,398.107,,
r23,Reptiles,Pantherophis guttatus,Pantherophis guttatus,NA,Red cornsnake,Squamata,Colubridae,Pantherophis,,549.541,,
r24,Reptiles,Sistrurus miliarius barbouri,Sistrurus miliarius,NA,Barbour’s pygmy rattlesnake,Squamata,Viperidae,Sistrurus,,275.423,,
r25,Reptiles,Crotalus adamanteus,Crotalus adamanteus,NA,-,Squamata,Viperidae,Crotalus,,7585.776,,
r26,Reptiles,Thamnophis sirtalis,Thamnophis sirtalis,NA,-,Squamata,Natricidae,Thamnophis,,870.964,,
r27,Reptiles,Storeria victa,Storeria victa,NA,Florida brown snake,Squamata,Natricidae,Stroreria,,56.234,,
r28,Reptiles,Agkistrodon piscivorus conanti,Agkistrodon piscivorus,NA,-,Squamata,Viperidae,Agkistrodon,,3311.311,,
r29,Reptiles,Micrurus mipartitus,Micrurus mipartitus,,Redtail coral snake,Squamata,Elapidae,Micrurus,,338.844,,
r30,Reptiles,Storeria occipitomaculata obscura,Storeria occipitomaculata,NA,-,Squamata,Natricidae,Stroreria,,14.791,,
r31,Reptiles,Cemophora coccinea coccinea,Cemophora coccinea,NA,-,Squamata,Colubridae,Cemophora,,72.444,,
r32,Reptiles,Nerodia fasciata pictiventris,Nerodia fasciata,NA,-,Squamata,Natricidae,Neriodia,,1318.257,,
r33,Reptiles,Nerodia floridana,Nerodia floridana,NA,-,Squamata,Natricidae,Neriodia,,2290.868,,
r34,Reptiles,Thamnophis sauritus sackenii,Thamnophis sauritus,NA,-,Squamata,Natricidae,Thamnophis,,301.995,,
r35,Reptiles,Rhadinaea flavilata,Rhadinaea flavilata,NA,-,Squamata,Dipsadidae,Rhadinaea,,16.982,,
r36,Reptiles,Lampropeltis elapsoides,Lampropeltis elapsoides,NA,Scarlet Kingsnake,Squamata,Colubridae,Lampropeltis,,44.668,,
r37,Reptiles,Coluber constrictor priapus,Coluber constrictor,NA,-,Squamata,Colubridae,Coluber,,602.56,,
r38,Reptiles,Diadophis punctatus punctatus,Diadophis punctatus,NA,-,Squamata,Dipsadidae,Diadophis,,117.49,,
r39,Reptiles,Seminatrix pygaea pygaea,Liodytes pygaea,NA,Black swamp snake,Squamata,Natricidae,Liodytes,,40.738,,
r40,Reptiles,Pantherophis alleghaniensis,Pantherophis alleghaniensis,NA,Eastern rat snake,Squamata,Colubridae,Pantherophis,,1288.25,,
r41,Reptiles,Ophisaurus attenuatus,Ophisaurus attenuatus,NA,-,Squamata,Anguidae,Ophisaurus,,147.911,,
